slno,userId,handle,title,subscriberCount,videoCount,userViewCount,joinedDate,contentId,contentType,partyName,partyShortName,duration,viewCount,commentCount,text,publishedTime,likeCount,replyCount,parentSlno,grandparentSlno,languageName,targetName,bullyLabel
1,UCxHoBXkY88Tb8z1Ssj6CWsQ,@somoynews360,SOMOY TV,27600000,255559,19479130868,2015-10-21,VhjMkO5SEOI,caption,National Citizen Party,NCP,PT1M27S,297178,693,এবার আওয়ামী লীগের ভোট চুরি নিয়ে সারজিসের সাহসী বক্তব্য Sarjis Alam Awami League Election,2024-08-15T06:35:02Z,8179,,1,1,code-mix,organization,not bully
2,channelid1,channelhandle1,channeltitle1,1,2,25,2025-02-20,UgyKsjWvcZ0StOm2ATN4AaABAg,comment,,,,,,আওয়ামী লীগকে বাংলাদেশের নির্বাচন করতে দেওয়া যাবে না. আওয়ামী লীগ হচ্ছে ইন্ডিয়ান রাজনৈতিক দল. 😊😊😊,2025-02-28T06:21:52Z,0,0,1,1,bengali,organization,not bully
3,channelid2,channelhandle2,channeltitle2,0,0,0,2024-07-18,UgzhiARVI11eaz_E9ht4AaABAg,comment,,,,,,Ai tui pagol hoye gechhis,2024-09-10T16:20:34Z,0,0,1,1,romanized bengali,male,bully
4,channelid3,channelhandle3,channeltitle3,28,0,0,2020-05-05,Ugwn6dzxwZk-3_OrcS94AaABAg,comment,,,,,,Good,2024-09-05T19:53:31Z,0,0,1,1,english,male,not bully
5,channelid4,channelhandle4,channeltitle4,0,0,0,2024-04-18,Ugzy3QIsp9AciSO30014AaABAg,comment,,,,,,Choto vii k o cameraii niye asheche,2024-08-29T09:18:26Z,0,0,1,1,romanized bengali,male,not bully
6,channelid5,channelhandle5,channeltitle5,2,0,0,2021-04-03,Ugy8_NQdQnkkvRH5DrB4AaABAg,comment,,,,,,তুমিও তো ছিলে তেলবাজ,2024-08-21T05:14:54Z,0,0,1,1,bengali,male,bully
7,channelid6,channelhandle6,channeltitle6,0,0,0,2022-09-05,Ugy8Xs5lPFYLx9GVgPl4AaABAg,comment,,,,,,Sabek CC sobaeke kothin shasthi dite hobe,2024-08-19T18:47:40Z,0,0,1,1,romanized bengali,organization,bully
8,channelid7,channelhandle7,channeltitle7,6,4,16,2020-11-13,UgzocEogRDdEQDYPcE54AaABAg,comment,,,,,,❤ সহমত প্রকাশ করছি,2024-08-19T18:00:32Z,0,0,1,1,bengali,male,not bully
9,channelid8,channelhandle8,channeltitle8,1,0,0,2022-07-09,UgyqI0afS4Q2BSgM8DZ4AaABAg,comment,,,,,,ঠিক কথা।,2024-08-19T11:23:27Z,0,0,1,1,bengali,male,not bully
10,channelid9,channelhandle9,channeltitle9,1,0,0,2015-02-19,UgzE75ZGt_WGGHl5dgZ4AaABAg,comment,,,,,,সারজিস ও একদিন আওয়ামীলীগ করতো. তাহলে সে কি?,2024-08-17T11:41:41Z,0,0,1,1,bengali,male,not bully
11,channelid10,channelhandle10,channeltitle10,0,0,0,2023-11-25,UgyNEphr8TYLuxT0cNd4AaABAg,comment,,,,,,তুমি বেঁচে থাকো বাবা দোয়া করি তোমাদের জন্য এই সুদিন,2024-08-17T06:10:56Z,0,0,1,1,bengali,male,not bully
12,channelid11,channelhandle11,channeltitle11,3,4,907,2023-04-27,Ugy-WQg-560I652oyF54AaABAg,comment,,,,,,"উপজেলা নির্বাচন এবং ইউনিয়ন পরিষদের নির্বাচন আবার নতুন করে যোগ্য মানুষ দের নিয়ে হোক,,,, সমন্বয়কদের দৃষ্টি আকর্ষণ করছি",2024-08-17T05:23:11Z,0,0,1,1,bengali,organization,not bully
13,channelid12,channelhandle12,channeltitle12,1,0,0,2022-04-11,Ugwt2lQT17TWnfH0Pid4AaABAg,comment,,,,,,Bot cor haceinar koma nay,2024-08-17T04:54:21Z,1,0,1,1,romanized bengali,female,bully
14,channelid13,channelhandle13,channeltitle13,9,0,0,2020-11-28,UgzBwm90MSftG6hMCRZ4AaABAg,comment,,,,,,"এই খান্কিরপোলা বর বর ভাষন দিতেছে, অথচ এই শালায় যে জামাত শিবিরের প্রতিহিংসা বাস্তবায়ন করার শপথ নিছে, এরা দেশে হিংসা হানাহানি বিদ্বেষ ছরিয়ে দিচ্ছে, সামনে দেখেন কি হয়",2024-08-17T03:33:07Z,0,0,1,1,bengali,male,bully
15,channelid14,channelhandle14,channeltitle14,0,5,143,2023-04-18,UgxZ47rpf64b0djFXm94AaABAg,comment,,,,,,ধন্যবাদ ভাই এদের কুত্তার মতো সারাজীবন কাটাতে হবে আমার নাম নিতে ও ঘৃণা লাগে নাম লিখলাম না,2024-08-17T01:31:18Z,0,0,1,1,bengali,organization,bully
16,channelid15,channelhandle15,channeltitle15,0,0,0,2022-02-23,Ugy5LWGa1yRcYVfv7GB4AaABAg,comment,,,,,,Akdom thik kotha,2024-08-17T01:19:14Z,0,0,1,1,romanized bengali,male,not bully
17,channelid16,channelhandle16,channeltitle16,61,27,1937,2018-06-11,Ugy65ViJwee0kIRiQ2d4AaABAg,comment,,,,,,"ভাই তুমি তো দেখি পুরো রাজনৈতিক দলের নেতার পাঠ নিচ্ছো, কে কি করেছে তা সাধারণ মানুষ সব জানে, এখন দেশ স্বাধীন হয়েছে, দেশ টা কে কি ভাবে এগিয়ে নেওয়া যায় সেই সব দিকে নজর দেন",2024-08-17T01:16:57Z,0,0,1,1,bengali,male,not bully
